 40 40
5537-10-54-00240028 0.0
5537-10-54-00230028 0.0
5537-10-54-00230030 0.0
5537-10-54-00230031 0.0
5537-10-54-00230032 0.0
5537-10-54-00220028 0.0
5537-10-54-00220029 0.0
5537-10-54-00220030 0.0
5537-10-54-00220031 0.0
5537-10-54-00220032 0.0
5537-10-54-00220033 0.0
5537-10-54-00220034 0.0
5537-10-54-00210027 0.0
5537-10-54-00210028 0.0
5537-10-54-00210029 0.0
5537-10-54-00210030 0.0
5537-10-54-00210031 0.0
5537-10-54-00210032 0.0
5537-10-54-00210034 0.0
5537-10-54-00210035 0.0
5537-10-54-00200027 0.0
5537-10-54-00200028 0.0
5537-10-54-00200029 0.0
5537-10-54-00200030 0.0
5537-10-54-00200031 0.0
5537-10-54-00200032 0.0
5537-10-54-00200033 0.0
5537-10-54-00200034 0.0
5537-10-54-00200036 0.0
5537-10-54-00190026 0.0
5537-10-54-00190027 0.0
5537-10-54-00190028 0.0
5537-10-54-00190029 0.0
5537-10-54-00190030 0.0
5537-10-54-00190031 0.0
5537-10-54-00190032 0.0
5537-10-54-00190033 5.03
5537-10-54-00190034 0.0
5537-10-54-00190035 0.0
5537-10-54-00190036 0.0
5537-10-54-00180027 0.0
5537-10-54-00180028 0.0
5537-10-54-00180029 0.0
5537-10-54-00180030 0.0
5537-10-54-00180031 0.0
5537-10-54-00180032 0.0
5537-10-54-00180033 0.0
5537-10-54-00180034 0.0
5537-10-54-00180035 0.0
5537-10-54-00180036 0.0
5537-10-54-00170027 0.0
5537-10-54-00170028 0.0
5537-10-54-00170029 0.0
5537-10-54-00170030 3.62
5537-10-54-00170031 0.0
5537-10-54-00170032 0.0
5537-10-54-00170033 0.0
5537-10-54-00170034 0.0
5537-10-54-00170035 0.0
5537-10-54-00170036 0.0
5537-10-54-00160026 0.0
5537-10-54-00160027 0.0
5537-10-54-00160028 0.0
5537-10-54-00160029 0.0
5537-10-54-00160030 1.97
5537-10-54-00160031 0.0
5537-10-54-00160032 3.87
5537-10-54-00160033 0.0
5537-10-54-00160034 0.0
5537-10-54-00160035 0.0
5537-10-54-00160036 0.0
5537-10-54-00160037 0.0
5537-10-54-00150026 0.0
5537-10-54-00150027 0.0
5537-10-54-00150028 0.0
5537-10-54-00150029 3.87
5537-10-54-00150030 0.0
5537-10-54-00150031 0.0
5537-10-54-00150032 0.0
5537-10-54-00150033 0.0
5537-10-54-00150034 0.0
5537-10-54-00150035 0.0
5537-10-54-00150036 0.0
5537-10-54-00150037 0.0
5537-10-54-00150038 0.0
5537-10-54-00140027 0.0
5537-10-54-00140028 0.0
5537-10-54-00140029 0.0
5537-10-54-00140030 0.0
5537-10-54-00140031 0.0
5537-10-54-00140032 0.0
5537-10-54-00140033 0.0
5537-10-54-00140034 0.0
5537-10-54-00140035 0.0
5537-10-54-00140036 0.0
5537-10-54-00140037 0.0
5537-10-54-00140038 0.0
5537-10-54-00140039 0.0
5537-10-54-00130026 0.0
5537-10-54-00130027 0.0
5537-10-54-00130028 0.0
5537-10-54-00130029 4.13
5537-10-54-00130030 0.0
5537-10-54-00130031 0.0
5537-10-54-00130032 0.0
5537-10-54-00130033 0.0
5537-10-54-00130034 0.0
5537-10-54-00130035 0.0
5537-10-54-00130036 0.0
5537-10-54-00130037 0.0
5537-10-54-00130038 0.0
5537-10-54-00130039 0.0
5537-10-54-00120026 0.0
5537-10-54-00120027 0.0
5537-10-54-00120028 0.0
5537-10-54-00120029 0.0
5537-10-54-00120030 0.0
5537-10-54-00120031 1.98
5537-10-54-00120032 0.0
5537-10-54-00120033 0.85
5537-10-54-00120034 0.0
5537-10-54-00120035 0.0
5537-10-54-00120037 0.0
5537-10-54-00120038 0.0
5537-10-54-00120039 0.0
5537-10-55-00120000 0.0
5537-10-54-00110026 0.0
5537-10-54-00110027 0.0
5537-10-54-00110028 0.0
5537-10-54-00110029 4.13
5537-10-54-00110030 0.0
5537-10-54-00110031 4.62
5537-10-54-00110032 5.77
5537-10-54-00110033 0.0
5537-10-54-00110034 0.0
5537-10-54-00110035 0.0
5537-10-54-00110038 0.0
5537-10-54-00110039 0.0
5537-10-55-00110000 0.0
5537-10-55-00110003 0.0
5537-10-54-00100026 0.0
5537-10-54-00100027 0.0
